Date,RPM,Power kW,Fuel Consumption kg hr,Power Absorption,Idle time,SW Temperature Deg C,Rate of increase of Power absorption,Speed Knots GPS,Speed Knots LOG,Slip Percent,Wind Direction Deg,Wind Speed Knots,Cargo Quantity,Water Depth,Ship Mean Draft,Propulsion Efficiency m per kWh
8/23/2019,83.7,3309,1057.92,1.03,0,33,,9.15,8.47,21.5,100,33,0,60,5.3,4.74
8/24/2019,83.1,3219,1099.19,1.02,0,33,,9.80,8.20,23.4,160,24,0,60,5.3,4.74
8/25/2019,87.7,3455,1064.44,0.93,0,33,,11.53,10.59,6.3,229,16,0,60,5.3,5.92
8/26/2019,89.7,3584,981.58,0.91,0,33,,12.35,11.19,3.1,228,8,0,60,5.3,5.79
8/27/2019,87.6,3506,1012.90,0.95,0,33,,12.06,11.16,1.6,176,10,0,60,5.3,8.74
8/28/2019,89.0,3344,1104.54,0.86,0,33,,12.63,11.71,-2.1,252,14,0,60,5.3,6.48
8/29/2019,89.7,3432,1117.56,0.87,0,33,,12.57,11.83,-2.4,274,17,0,60,5.3,6.40
8/30/2019,89.7,3453,1150.17,0.87,0,33,,12.49,11.78,-2.0,259,12,0,60,5.3,6.32
8/31/2019,89.6,3485,1106.00,0.88,0,33,,12.96,11.74,-1.8,182,19,0,60,5.3,6.24
9/1/2019,88.7,3412,1117.60,0.89,0,33,,12.77,11.58,-1.4,187,24,0,60,5.3,6.29
9/2/2019,86.3,3061,1203.48,0.87,0,33,,12.63,11.64,-4.8,203,13,0,60,5.3,7.12
9/3/2019,86.0,2964,1207.24,0.85,0,33,,12.55,11.66,-5.2,222,6,0,60,5.3,7.34
9/4/2019,78.9,2758,1260.67,1.02,0,33,,11.37,10.45,-45.2,184,11,0,60,5.3,30.40
9/5/2019,37.5,1606,633.21,5.53,1,33,,4.50,5.00,1.8,216,8,0,17,5.3,3.04
9/6/2019,0.0,0,0.00,#DIV/0!,1,33,,0.00,0.00,0.0,152,4,0,5,5.3,0.00
9/7/2019,1.7,34,12.64,1192.37,1,33,,0.24,0.22,2.7,144,4,0,6,5.3,1.12
9/8/2019,0.0,0,0.79,1072929.50,1,33,,0.00,0.00,0.7,138,4,0,7,5.3,0.06
9/9/2019,0.1,1,1.17,436157.24,1,33,,0.00,0.00,0.2,178,7,0,4,5.3,0.05
9/10/2019,79.9,3170,608.34,1.13,0,33,,9.77,8.99,12.0,157,5,30783,70,9.3,5.56
9/11/2019,88.0,3402,449.84,0.91,0,33,,10.44,10.06,11.3,241,16,55000,120,12.5,5.55
9/12/2019,85.0,3409,711.11,1.01,0,33,,8.08,7.90,27.8,254,23,55000,120,12.5,4.34
9/13/2019,82.1,2913,666.94,0.96,0,33,,8.76,8.57,19.0,250,22,55000,120,12.5,5.46
9/14/2019,83.1,3142,780.62,1.00,0,33,,8.45,8.25,22.9,288,22,55000,120,12.5,4.88
9/15/2019,82.2,2968,735.26,0.97,0,33,,9.10,8.61,18.7,302,15,55000,120,12.5,5.41
9/16/2019,84.5,2954,654.58,0.89,0,33,,10.38,10.10,7.2,269,13,55000,120,12.5,6.36
9/17/2019,84.9,2999,665.94,0.89,0,33,,10.26,9.98,8.8,198,15,55000,120,12.5,6.17
9/18/2019,85.1,3049,685.96,0.90,0,33,,10.29,10.03,8.5,124,12,55000,120,12.5,6.11
9/19/2019,84.5,3037,700.17,0.91,0,33,,9.86,9.75,10.5,243,17,55000,120,12.5,5.96
9/20/2019,83.9,3070,741.16,0.95,0,33,,9.17,9.27,14.3,196,7,55000,120,12.5,5.62
9/21/2019,84.1,2964,710.07,0.91,0,33,,9.92,9.84,9.1,228,15,55000,120,12.5,6.16
9/22/2019,83.7,3062,702.29,0.95,0,33,,9.39,9.32,13.5,314,14,55000,120,12.5,5.68
9/23/2019,83.1,2855,653.45,0.90,0,33,,9.88,9.94,7.1,257,9,55000,120,12.5,8.34
9/24/2019,83.7,2848,676.01,0.88,0,33,,10.16,10.10,6.3,204,14,55000,120,12.5,6.60
9/25/2019,81.9,2776,678.84,0.92,0,33,,9.16,9.37,11.2,234,19,55000,120,12.5,6.26
9/26/2019,82.0,2691,552.92,0.89,0,33,,9.67,10.02,5.2,149,15,55000,120,12.5,6.93
9/27/2019,79.2,2734,486.23,1.00,0,33,,10.08,9.91,2.2,64,15,55000,120,12.5,9.84
9/28/2019,85.4,2942,483.03,0.86,0,33,,11.27,10.74,2.3,96,15,55000,120,12.5,6.78
9/29/2019,83.9,2826,525.62,0.87,0,33,,11.13,10.31,4.5,208,12,55000,120,12.5,6.76
9/30/2019,83.7,2828,644.78,0.88,0,33,,10.57,10.23,5.1,160,6,55000,120,12.5,6.72
10/1/2019,83.1,2816,696.65,0.89,0,33,,9.98,9.86,7.9,111,11,55000,120,12.5,6.50
10/2/2019,83.3,2806,700.42,0.88,0,33,,10.45,10.17,5.2,162,4,55000,120,12.5,6.74
10/3/2019,83.7,2749,672.08,0.85,0,33,,11.60,10.68,0.9,98,8,55000,120,12.5,7.20
10/4/2019,83.9,2771,675.45,0.86,0,33,,10.98,10.67,1.2,59,15,55000,120,12.5,7.13
10/5/2019,85.5,2963,701.05,0.86,0,33,,10.98,10.95,0.6,206,9,55000,120,12.5,6.98
10/6/2019,83.8,2747,690.08,0.85,0,33,,10.59,10.76,0.3,59,7,55000,120,12.5,7.26
10/7/2019,84.2,2796,717.89,0.85,0,33,,10.57,10.85,0.0,52,10,55000,120,12.5,7.22
10/8/2019,83.8,2758,697.85,0.85,0,33,,11.09,10.72,0.6,99,7,55000,88,12.5,7.20
10/9/2019,84.4,2845,714.99,0.86,0,33,,10.85,10.66,1.9,185,4,55000,41,12.5,6.97
10/10/2019,83.5,2755,679.24,0.86,0,33,,10.78,10.57,1.7,222,4,55000,48,12.5,7.11
10/11/2019,12.1,252,87.70,25.62,1,33,,1.69,1.64,1.3,204,6,55000,14,12.5,4.10
10/12/2019,0.0,0,0.00,0.00,1,33,,0.00,0.00,0.6,195,7,55000,14,12.5,0.00
10/13/2019,45.5,1459,345.17,2.82,1,33,,6.15,5.95,0.6,159,6,55000,25,12.5,4.20
10/14/2019,83.5,2731,630.49,0.85,0,33,,10.88,10.78,-0.2,108,11,55000,54,12.5,7.34
10/15/2019,83.0,2628,626.44,0.84,0,33,,11.70,11.00,-3.0,166,6,55000,51,12.5,7.76
10/16/2019,74.9,2124,608.20,0.92,1,33,,10.28,9.99,-4.5,70,9,55000,31,12.5,12.87
10/17/2019,24.3,645,207.93,8.22,1,33,,3.40,3.43,-29.9,209,7,55000,16,12.5,5.77
10/18/2019,0.0,0,0.00,0.00,1,33,,0.00,0.00,3.2,171,4,47685,9,10.3,0.00
10/19/2019,0.0,0,0.00,#DIV/0!,1,33,,0.00,0.10,0.0,169,5,45000,10,9.6,0.00
10/20/2019,0.0,0,0.00,#DIV/0!,1,33,,0.00,0.00,0.0,173,7,45000,8,9.6,0.00
10/21/2019,40.7,1389,365.08,3.74,1,33,,5.73,5.48,-1.6,164,6,45000,21,9.6,3.66
10/22/2019,29.9,848,269.54,5.80,1,33,,4.03,4.81,-3.3,233,7,45000,24,9.6,16.30
10/23/2019,8.6,234,67.55,67.23,1,33,,1.23,1.96,-1.9,173,5,45000,23,7.5,9.77
10/24/2019,0.3,13,2.38,106378.15,1,33,,0.15,0.15,0.6,151,4,45000,7,7.1,1.75
10/25/2019,0.0,0,0.00,#DIV/0!,1,33,,0.00,0.00,0.0,147,4,45000,8,7.1,0.00
10/26/2019,15.5,430,112.09,21.22,1,33,,2.25,2.05,-0.9,168,4,41200,12,6.9,3.29
10/27/2019,83.3,2675,745.67,0.84,0,33,,13.26,11.25,-4.8,236,3,14875,37,5.6,7.79
10/28/2019,85.3,2915,751.32,0.86,0,33,,12.82,11.32,-3.1,115,6,14875,40,5.6,7.29
10/29/2019,36.1,1106,285.18,4.28,1,33,,5.62,5.11,-23.4,165,7,14875,26,5.6,21.10
10/30/2019,0.0,0,0.00,#DIV/0!,1,33,,0.00,0.00,0.0,178,8,14875,2,5.6,0.00
10/31/2019,0.0,0,0.00,0.00,1,33,,0.00,0.00,0.2,162,6,14875,2,5.6,0.00
11/1/2019,70.1,3182,667.28,1.68,1,33,,10.06,9.20,-0.5,116,9,5838,32,5.4,4.19
11/2/2019,97.5,4631,1045.70,0.91,0,33,,4.12,11.75,6.5,303,23,0,0,5.3,4.70
11/3/2019,97.5,4681,1102.71,0.92,0,33,,0.00,11.40,9.2,360,17,0,0,5.3,4.52
11/4/2019,98.1,4750,1151.65,0.92,0,33,,12.48,11.75,7.1,173,13,0,0,5.3,4.58
11/5/2019,95.8,4566,1145.06,0.94,0,33,,10.77,9.71,21.5,170,26,0,0,5.3,3.92
11/6/2019,91.9,4105,1107.55,0.96,0,33,,10.02,9.10,23.1,157,28,0,0,5.3,4.11
11/7/2019,57.4,2555,704.88,2.46,1,33,,7.56,6.75,6.8,166,20,0,7,5.3,3.59
11/8/2019,1.7,21,28.12,727.24,1,33,,0.21,0.19,1.6,175,14,0,10,5.3,1.09
11/9/2019,0.0,0,0.00,0.00,1,33,,0.00,0.00,3.6,163,8,0,6,5.3,0.00
11/10/2019,56.7,2371,455.64,2.37,1,33,,6.91,6.55,7.6,158,17,27781,70,8.9,3.20
11/11/2019,93.2,3950,822.46,0.89,0,33,,11.94,10.95,8.8,137,24,48906,141,11.6,5.13
11/12/2019,95.4,4233,917.46,0.89,0,33,,11.83,11.38,7.4,110,14,48906,141,11.6,4.98
11/13/2019,93.9,4024,905.35,0.88,0,33,,11.76,11.29,6.6,101,6,48906,141,11.6,5.20
11/14/2019,96.4,4410,961.19,0.90,0,33,,11.86,11.49,7.5,67,16,48906,141,11.6,4.86
11/15/2019,98.6,4847,1039.18,0.92,0,33,,11.50,11.37,10.5,264,24,48906,141,11.6,4.35
11/16/2019,99.3,4845,1050.70,0.90,0,33,,12.28,11.45,10.5,226,12,48906,141,11.6,4.38
11/17/2019,98.2,4671,1015.75,0.90,0,25,,11.69,11.35,10.3,94,7,48906,141,11.6,4.50
11/18/2019,99.9,4770,1064.48,0.87,0,23,,12.79,12.26,4.7,44,16,48906,141,11.6,4.76
11/19/2019,99.5,4777,1085.32,0.88,0,23,,12.41,12.16,5.1,219,14,48906,141,11.6,4.72
11/20/2019,100.1,4826,1100.84,0.88,0,23,,12.05,12.19,5.4,275,5,48906,141,11.6,4.68
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
